pos_x, pos_y, pos_z, pos_yaw, time
-59.250057,-2.907584,1.235479,1.223685,12.880703
-59.187176,-2.754101,1.235478,1.211946,12.895241
-59.122547,-2.601541,1.235474,1.200221,12.911275
-59.056183,-2.449923,1.235468,1.188508,12.926445
-58.988106,-2.299270,1.235459,1.176807,12.942581
-58.918327,-2.149600,1.235449,1.165117,12.958642
-58.846863,-2.000932,1.235437,1.153438,12.972306
-58.773727,-1.853287,1.235423,1.141769,12.988872
-58.698936,-1.706681,1.235408,1.130108,13.004983
-58.622509,-1.561135,1.235391,1.118456,13.019510
-58.544460,-1.416665,1.235374,1.106811,13.035568
-58.464802,-1.273290,1.235356,1.095173,13.050397
-58.464802,-1.273290,1.235356,1.095173,13.066314
-58.383556,-1.131026,1.235337,1.083541,13.081360
-58.300735,-0.989891,1.235318,1.071915,13.098072
-58.216354,-0.849903,1.235299,1.060294,13.112671
-58.130432,-0.711075,1.235281,1.048677,13.129167
-58.042984,-0.573426,1.235263,1.037064,13.144277
-57.954025,-0.436970,1.235245,1.025456,13.159389
-57.863571,-0.301724,1.235228,1.013850,13.175067
-57.771641,-0.167702,1.235212,1.002248,13.190210
-57.678253,-0.034919,1.235197,0.990649,13.205201
-57.583420,0.096609,1.235183,0.979052,13.221432
-57.487156,0.226870,1.235171,0.967458,13.236047
-57.389484,0.355847,1.235160,0.955867,13.253038
-57.290421,0.483527,1.235151,0.944278,13.269077
-57.189976,0.609897,1.235143,0.932692,13.283995
-57.189976,0.609897,1.235143,0.932692,13.298651
-57.088173,0.734944,1.235137,0.921109,13.315357
-56.985027,0.858653,1.235133,0.909528,13.331387
-56.880558,0.981013,1.235130,0.897951,13.347481
-56.774776,1.102010,1.235128,0.886376,13.363542
-56.667706,1.221631,1.235128,0.874805,13.378059
-56.559364,1.339865,1.235130,0.863237,13.395078
-56.449764,1.456698,1.235133,0.851673,13.410154
-56.338928,1.572119,1.235137,0.840113,13.426597
-56.226875,1.686117,1.235142,0.828557,13.442170
-56.113617,1.798680,1.235148,0.817006,13.456065
-55.999180,1.909795,1.235156,0.805459,13.472355
-55.883575,2.019453,1.235164,0.793917,13.486870
-55.766827,2.127641,1.235173,0.782381,13.502442
-55.648952,2.234350,1.235182,0.770850,13.519497
-55.529968,2.339568,1.235192,0.759325,13.535246
-55.409897,2.443286,1.235202,0.747805,13.551435
-55.409897,2.443286,1.235202,0.747805,13.565506
-55.288754,2.545494,1.235212,0.736292,13.582189
-55.166561,2.646181,1.235223,0.724785,13.597301
-55.043335,2.745339,1.235233,0.713284,13.612438
-54.919098,2.842956,1.235243,0.701790,13.628500
-54.793873,2.939024,1.235253,0.690302,13.643520
-54.667671,3.033535,1.235263,0.678822,13.660074
-54.540504,3.126489,1.235272,0.667347,13.675742
-54.412418,3.217858,1.235281,0.655880,13.690279
-54.283421,3.307645,1.235289,0.644420,13.705600
-54.153526,3.395840,1.235297,0.632967,13.722206
-54.022762,3.482437,1.235304,0.621522,13.737732
-53.891144,3.567428,1.235310,0.610083,13.753285
-53.758694,3.650805,1.235316,0.598651,13.769358
-53.625431,3.732561,1.235321,0.587227,13.784035
-53.625431,3.732561,1.235321,0.587227,13.799063
-53.491375,3.812690,1.235326,0.575809,13.815509
-53.356548,3.891185,1.235329,0.564399,13.830051
-53.220970,3.968040,1.235332,0.552995,13.846349
-53.084660,4.043249,1.235335,0.541598,13.860396
-52.947639,4.116807,1.235337,0.530208,13.876353
-52.809929,4.188706,1.235339,0.518825,13.892430
-52.671547,4.258945,1.235340,0.507448,13.907471
-52.532516,4.327515,1.235340,0.496078,13.923076
-52.392857,4.394413,1.235340,0.484714,13.938642
-52.252586,4.459636,1.235340,0.473357,13.954772
-52.111729,4.523176,1.235340,0.462006,13.970317
-51.970303,4.585032,1.235339,0.450661,13.983966
-51.828327,4.645200,1.235338,0.439322,14.001241
-51.828327,4.645200,1.235338,0.439322,14.016423
-51.685825,4.703676,1.235337,0.427990,14.031464
-51.542816,4.760457,1.235336,0.416663,14.046539
-51.399319,4.815538,1.235335,0.405343,14.062094
-51.255356,4.868920,1.235334,0.394028,14.077255
-51.110943,4.920599,1.235333,0.382719,14.093277
-50.966106,4.970571,1.235332,0.371416,14.107434
-50.820862,5.018837,1.235331,0.360120,14.123426
-50.675232,5.065397,1.235330,0.348833,14.138937
-50.529232,5.110251,1.235330,0.337555,14.155266
-50.382893,5.153399,1.235329,0.326287,14.170286
-50.236225,5.194839,1.235329,0.315030,14.185951
-50.089252,5.234571,1.235329,0.303784,14.201617
-49.941994,5.272597,1.235330,0.292549,14.217128
-49.941994,5.272597,1.235330,0.292549,14.233160
-49.794468,5.308916,1.235330,0.281325,14.248260
-49.646694,5.343530,1.235331,0.270112,14.263431
-49.498695,5.376438,1.235332,0.258911,14.278957
-49.350491,5.407642,1.235334,0.247720,14.294472
-49.202095,5.437144,1.235336,0.236541,14.311002
-49.053532,5.464944,1.235337,0.225374,14.326521
-48.904819,5.491045,1.235340,0.214218,14.342201
-48.755978,5.515447,1.235342,0.203072,14.357603
-48.607025,5.538155,1.235344,0.191939,14.373535
-48.457981,5.559169,1.235347,0.180816,14.389120
-48.308865,5.578492,1.235350,0.169705,14.404760
-48.159695,5.596127,1.235353,0.158605,14.420135
-48.010490,5.612077,1.235356,0.147517,14.435575
-47.861271,5.626346,1.235359,0.136439,14.452153
-47.712055,5.638936,1.235362,0.125373,14.468389
-47.712055,5.638936,1.235362,0.114318,14.483263
-47.562859,5.649851,1.235365,0.114318,14.498660
-47.413704,5.659094,1.235368,0.103274,14.514223
-47.264606,5.666671,1.235371,0.092242,14.528783
-47.115585,5.672584,1.235374,0.081220,14.544524
-46.966660,5.676838,1.235377,0.070209,14.559541
-46.817848,5.679438,1.235381,0.059210,14.575115
-46.669167,5.680388,1.235384,0.048221,14.590264
-46.520638,5.679694,1.235386,0.037244,14.605308
-46.372272,5.677359,1.235389,0.026277,14.621757
-46.224091,5.673390,1.235392,0.015322,14.638294
-46.076115,5.667792,1.235395,0.004377,14.653015
-45.928356,5.660571,1.235397,-0.006556,14.668671
-45.780838,5.651732,1.235400,-0.017479,14.683757
-45.780838,5.651732,1.235400,-0.017479,14.699383
-45.633575,5.641281,1.235402,-0.028391,14.715626
-45.486580,5.629225,1.235405,-0.039292,14.730651
-45.486580,5.629225,1.235405,-0.039292,14.745192
-45.193237,5.600263,1.235403,-0.061097,14.760354
-45.046860,5.583361,1.235399,-0.072005,14.776651
-44.864445,5.559748,1.235339,-0.085634,14.792688
-44.718338,5.539186,1.235291,-0.096575,14.807243
-44.572266,5.516973,1.235243,-0.107543,14.823150
-44.426140,5.493082,1.235194,-0.118546,14.839172
-44.279888,5.467496,1.235142,-0.129589,14.855877
-44.133400,5.440213,1.235085,-0.140662,14.870389
-44.133400,5.440213,1.235085,-0.140662,14.886256
-43.986607,5.411226,1.235024,-0.151760,14.901259
